app_name,release_date,developer,item_id,price
DOOM II,1994,id Software,2300.0,4.99
Wolfenstein 3D,1994,id Software,2270.0,4.99
Return to Castle Wolfenstein,2001,Gray Matter Studios,9010.0,4.99
QUAKE Mission Pack 1: Scourge of Armagon,1997,Ritual Entertainment,9040.0,2.99
Spear of Destiny,1993,id Software,9000.0,2.99
BloodRayne,2003,Terminal Reality,3810.0,9.99
QUAKE Mission Pack 2: Dissolution of Eternity,2007,Rogue Entertainment,9030.0,2.99
QUAKE,2007,id Software,2310.0,4.99
Genesis Rising,2007,Metamorf,3230.0,4.99
"Warhammer® 40,000: Dawn of War® – Winter Assault",2006,Relic Entertainment,9310.0,12.99
BioShock™,2007,"2K Boston,2K Australia",7670.0,19.99
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006,Relic Entertainment,4570.0,12.99
"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006,Relic Entertainment,4580.0,12.99
Rome: Total War™ - Collection,2004,The Creative Assembly,4760.0,9.99
Rome: Total War™ - Alexander,2006,The Creative Assembly,4770.0,4.99
Mystery Case Files: Madame Fate®,2007,Big Fish Games,50970.0,6.99
Grand Theft Auto,1998,Rockstar North,12170.0,-10.0
Grand Theft Auto 2,1999,Rockstar North,12180.0,-10.0
Manhunt,2004,Rockstar North,12130.0,9.99
Midnight Club 2,2003,Rockstar San Diego,12160.0,9.99
Max Payne 2: The Fall of Max Payne,2003,Remedy Entertainment,12150.0,9.99
Tomb Raider: Legend,2006,Crystal Dynamics,7000.0,6.99
Max Payne,2001,Remedy Entertainment,12140.0,9.99
Command & Conquer: Red Alert 3,2008,EA Los Angeles,17480.0,19.99
PuzzleQuest: Challenge of the Warlords,2007,Infinite Interactive,12500.0,9.99
Culpa Innata,2007,Momentum Digital Media Technologies,12310.0,9.99
Prison Tycoon 3™: Lockdown,2007,"Gamebryo,Virtual Playground",12510.0,9.99
Hunting Unlimited™ 2008,2007,SCS Software,12530.0,9.99
18 Wheels of Steel: American Long Haul,2007,SCS Software,12520.0,9.99
Conflict: Denied Ops,2008,Pivotal Games,8100.0,5.99
ARMA: Combat Operations,2007,Bohemia Interactive,2780.0,7.99
Tycoon City: New York,2006,,9730.0,9.99
Desperados 2: Cooper's Revenge,2006,Spellbound,9710.0,9.99
Death to Spies,2007,Haggard Games,9800.0,4.99
Act of War: High Treason,2006,Eugen Systems,9760.0,2.99
RollerCoaster Tycoon® 3: Platinum,2006,"Frontier,Aspyr (Mac)",2700.0,19.99
Act of War: Direct Action,2005,Eugen Systems,2710.0,2.99
Unreal 2: The Awakening,2003,"Epic Games, Inc.",13200.0,14.99
Unreal Gold,1998,"Epic Games, Inc.",13250.0,9.99
Ninja Reflex: Steamworks Edition,2008,Sanzaru Games,13000.0,4.99
Tom Clancy's Splinter Cell®,2003,Ubisoft,13560.0,9.99
Far Cry®,2004,Crytek Studios,13520.0,9.99
Unreal Tournament: Game of the Year Edition,2000,"Epic Games, Inc.",13240.0,9.99
Tom Clancy's Rainbow Six® Vegas,2006,Ubisoft Montreal,13540.0,9.99
Silent Hunter® III,2005,Ubisoft,15210.0,9.99
Virtual Villagers - The Secret City,2008,Last Day of Work,16180.0,9.99
Mystery P.I.™ - The Vegas Heist,2008,SpinTop Games,3520.0,4.99
Luxor,2008,MumboJumbo,15970.0,9.99
Reaxxion,2008,MumboJumbo,15950.0,9.99
Little Farm,2008,MumboJumbo,15960.0,9.99
7 Wonders II,2008,MumboJumbo,15900.0,9.99
Luxor Amun Rising,2005,MumboJumbo,15910.0,9.99
Luxor 3,2007,MumboJumbo,15930.0,9.99
Petz® Horsez® 2,2007,Ubisoft,15160.0,9.99
Luxor 2,2005,MumboJumbo,15920.0,9.99
Rayman Raving Rabbids™,2007,"Ubisoft Bulgaria,Ubisoft Montpellier",15080.0,9.99
Silent Hunter®: Wolves of the Pacific,2007,Ubisoft Romania,15200.0,9.99
IL-2 Sturmovik: 1946,2006,1C: Maddox Games,15320.0,9.99
Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008,Ubisoft Romania,15240.0,9.99
Bone: Out From Boneville,2005,Telltale Games,8310.0,9.99
Midnight Outlaw: 6 Hours to SunUp,2005,"Merscom,Babylon",12600.0,9.99
Bone: The Great Cow Race,2006,Telltale Games,8320.0,9.99
Sprint Cars Road to Knoxville,2008,BigAnt Studios,12590.0,9.99
Dr. Daisy Pet Vet,2008,Zemnott,12580.0,9.99
Ride! Carnival Tycoon,2007,Gabriel Entertainment,12560.0,9.99
Hot Dish,2008,Zemnott,12570.0,9.99
Mahjongg Investigations: Under Suspicion,2007,Zemnott,12540.0,9.99
Dracula Origin,2008,Frogwares,11050.0,9.99
Beijing 2008™ - The Official Video Game of the Olympic Games,2008,Eurocom,10520.0,-10.0
Sherlock Holmes - Nemesis,2008,Frogwares,11040.0,9.99
Eternity's Child,2008,"Luc Bernard,SilverSphereStudios",19500.0,4.99
Pacific Storm Allies,2007,Lesta Studio,11260.0,7.99
Tank Universal,2008,Dialogue Design,19200.0,4.99
FlatOut: Ultimate Carnage,2008,Bugbear Entertainment,12360.0,19.99
Oddworld: Abe's Exoddus®,1998,Oddworld Inhabitants,15710.0,2.99
Oddworld: Abe's Oddysee®,1997,Oddworld Inhabitants,15700.0,2.99
GTR Evolution Expansion Pack for RACE 07,2008,SimBin,8660.0,7.99
X-COM: Enforcer,2001,"MicroProse Software, Inc",7770.0,4.99
X-COM: Apocalypse,1997,"MicroProse Software, Inc",7660.0,4.99
X-COM: UFO Defense,1993,"MicroProse Software, Inc",7760.0,4.99
S.T.A.L.K.E.R.: Clear Sky,2008,GSC Game World,20510.0,9.99
Crysis Warhead®,2008,Crytek,17330.0,19.99
Crysis,2007,Crytek,17300.0,19.99
X-COM: Interceptor,1998,"MicroProse Software, Inc",7730.0,4.99
The Witcher: Enhanced Edition Director's Cut,2008,CD PROJEKT RED,20900.0,9.99
Multiwinia,2008,Introversion Software,1530.0,9.99
STCC - The Game 1 - Expansion Pack for RACE 07,2008,SimBin,8690.0,2.99
Children of the Nile: Alexandria,2008,"Tilted Mill Entertainment, Inc.",17120.0,2.49
Sid Meier's Civilization IV: Colonization,2008,Firaxis Games,16810.0,19.99
Tom Clancy's Rainbow Six® 3 Gold,2003,"Red Storm Entertainment,Ubisoft Montreal",19830.0,9.99
LEGO Batman,2008,Traveller's Tales,21000.0,19.99
City Life 2008,2008,Monte Cristo,4460.0,9.99
Hinterland,2008,"Tilted Mill Entertainment, Inc.",17140.0,9.99
Brothers in Arms: Hell's Highway™,2008,Gearbox Software,15390.0,9.99
Gravitron 2,2008,Dark Castle Software,21300.0,4.99
Xpand Rally Xtreme,2006,Techland,3050.0,4.99
Heroes of Might & Magic V: Hammers of Fate,2006,Nival,15380.0,9.99
Brothers in Arms: Earned in Blood™,2005,Gearbox Software,19800.0,9.99
Heroes of Might & Magic V: Tribes of the East,2007,Nival,15370.0,9.99
The Settlers®: Rise Of An Empire Gold Edition,2008,Blue Byte,19930.0,19.99
Brain Spa,2007,Ubisoft,15350.0,9.99
The Sum of All Fears,2002,Red Storm Entertainment,19810.0,9.99
Peggle™ Nights,2008,"PopCap Games, Inc.",3540.0,4.99
World of Goo,2008,2D BOY,22000.0,9.99
X3: Terran Conflict,2008,Egosoft,2820.0,15.99
Mare Nostrum,2008,Sandstorm Productions,1230.0,0.0
Spectraball,2008,Shorebound Studios,18300.0,4.99
Galactic Bowling,2008,Perpetual FX Creative,20200.0,19.99
Bully: Scholarship Edition,2008,Rockstar New England,12200.0,14.99
Far Cry® 2: Fortune's Edition,2008,Ubisoft Montreal,19900.0,9.99
Space Trader: Merchant Marine,2008,Meridian4,11240.0,4.99
PRR Wagon Pack 01,2009,RailSimulator.com,256522.0,4.99
"Class 421 London South East ""Jaffa Cake""",2009,RailSimulator.com,275144.0,4.99
ATSF Wagon Pack 01,2009,RailSimulator.com,256521.0,4.99
GP20 Union Pacific Add-on Livery,2009,Reppo,222569.0,4.99
UK Van Wagon Pack,2009,RailSimulator.com,256535.0,4.99
CSX SD70MAC Add-on Livery,2009,Dovetail Games,256611.0,4.99
CSX ES44AC Add-on Livery,2009,Dovetail Games,256576.0,4.99
Saints Row 2,2009,Volition,9480.0,9.99
Dead Space,2008,EA Redwood Shores,17470.0,19.99
Rise of the Argonauts,2008,Liquid Entertainment,12770.0,9.99
Mirror's Edge™,2009,DICE,17410.0,19.99
Defense Grid: The Awakening,2008,Hidden Path Entertainment,18500.0,9.99
F.E.A.R. 2: Project Origin,2009,Monolith,16450.0,14.99
Harvest: Massive Encounter,2008,Oxeye Game Studio,15400.0,7.99
Mayhem Intergalactic,2007,Inventive Dingo,18600.0,9.99
Larva Mortus,2009,Meridian4,11340.0,4.99
Knights of Honor,2005,Black Sea Studios Ltd,25830.0,9.99
Ceville,2009,Realmforge Studios,23460.0,5.99
Empire: Total War™ - Special Forces Units & Bonus Content,2009,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",10600.0,2.99
Watchmen: The End is Nigh,2009,Deadline Games,21010.0,4.99
Penumbra Overture,2007,Frictional Games,22180.0,9.99
Unreal Tournament 3 Black,2007,"Epic Games, Inc.",13210.0,19.99
Drakensang,2009,Radon Labs,12640.0,9.99
Age of Booty™,2009,Certain Affinity™,21600.0,-10.0
The Graveyard,2008,Tale of Tales,27020.0,4.99
Burnout Paradise: The Ultimate Box,2009,Criterion Games,24740.0,19.99
Zombie Master,2009,Zombie Master Team,90047.0,-10.0
The Maw,2009,Twisted Pixel Games,26000.0,9.99
The Maw: River Redirect,2009,Twisted Pixel Games,26006.0,1.25
The Maw: Brute Force,2009,Twisted Pixel Games,26005.0,1.25
Obulis,2009,IonFX,11330.0,4.99
Space Giraffe,2009,Llamasoft LTD,27800.0,9.99
Codename: Panzers - Cold War,2009,"InnoGlow,Stormregion,THQ Nordic",9850.0,14.99
Escape Rosecliff Island,2009,SpinTop Games,3600.0,4.99
Guild Wars Nightfall,2006,ArenaNet®,29580.0,19.99
Guild Wars,2005,ArenaNet®,29540.0,19.99
Guild Wars Factions,2006,ArenaNet®,29560.0,19.99
Guild Wars Trilogy,2008,ArenaNet®,29570.0,29.99
Puzzle Kingdoms,2009,Infinite Interactive,23700.0,14.99
Samantha Swift and the Golden Touch,2009,MumboJumbo,16060.0,9.99
Two Worlds Epic Edition,2009,Reality Pump Studios,1930.0,9.99
Helldorado,2009,Spellbound,18470.0,9.99
X-Blades,2009,Gaijin Entertainment,7510.0,9.99
Zeno Clash,2009,ACE Team,22200.0,9.99
The Maw: Speeder Lane,2009,Twisted Pixel Games,26007.0,1.25
King's Bounty: The Legend,2008,1C Company,25900.0,6.99
Virtual Families,2009,Last Day of Work,16200.0,9.99
Death Track®: Resurrection,2009,Sky Fallen,7840.0,2.99
Freedom Force vs. the Third Reich,2005,Irrational Games,8890.0,4.99
Freedom Force,2002,Irrational Games,8880.0,4.99
Light of Altair,2009,SaintXi,34500.0,14.99
Darkest Hour: Europe '44-'45,2009,Darklight Games,1280.0,0.0
Prototype™,2009,Radical Entertainment,10150.0,19.99
Blueberry Garden,2009,Erik Svedäng,29160.0,4.99
Port Royale 2,2004,Ascaron Entertainment ltd.,12470.0,4.99
Call of Cthulhu®: Dark Corners of the Earth,2006,Headfirst Productions,22340.0,4.99
The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007,Bethesda Game Studios,22330.0,14.99
The Elder Scrolls III: Morrowind® Game of the Year Edition,2002,Bethesda Game Studios,22320.0,14.99
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,2009,Bethesda Game Studios®,900883.0,19.99
Ankh 2: Heart of Osiris,2007,Deck 13,12440.0,4.99
Armored Fist 3,1999,NovaLogic,32710.0,9.99
MiG-29 Fulcrum,1998,NovaLogic,32740.0,9.99
BC Kings,2008,Mascot Entertainment,12460.0,4.99
Call of Juarez®: Bound in Blood,2009,Techland,21980.0,9.99
Nancy Drew®: Legend of the Crystal Skull,2007,HeR Interactive,31860.0,6.99
Nancy Drew®: The Creature of Kapu Cave,2006,HeR Interactive,31900.0,6.99
Nancy Drew®: The Phantom of Venice,2008,HeR Interactive,31920.0,6.99
Nancy Drew®: The White Wolf of Icicle Creek,2007,HeR Interactive,31930.0,6.99
BRAINPIPE: A Plunge to Unhumanity,2008,Digital Eel,35800.0,0.0
Hunting Unlimited 2010,2009,,12690.0,9.99
Tales of Monkey Island Complete Pack,2009,Telltale Games,31170.0,19.99
Street Fighter® IV,2009,Capcom,21660.0,19.99
Thrillville®: Off the Rails™,2007,Frontier,6080.0,9.99
Indiana Jones® and the Fate of Atlantis™,1992,LucasArts,6010.0,5.99
Armed and Dangerous®,2003,Planet Moon Studios,6090.0,5.99
"Star Wars: Battlefront 2 (Classic, 2005)",2005,Pandemic Studios,6060.0,9.99
Indiana Jones® and the Last Crusade™,1989,LucasArts,32310.0,5.99
LEGO® Indiana Jones™: The Original Adventures,2008,Traveller's Tales,32330.0,19.99
The Secret of Monkey Island: Special Edition,2009,LucasArts,32360.0,9.99
Warfare,2008,GFI Russia,35300.0,12.99
Clutch,2009,Targem Games,35310.0,9.99
Nancy Drew®: Ransom of the Seven Ships,2009,HeR Interactive,31980.0,6.99
Nancy Drew®: Ransom of the Seven Ships Demo,2009,Her Interactive,31990.0,-10.0
3D Ultra™ Minigolf Adventures,2006,Wanako Games,10140.0,9.99
King's Quest™ Collection,2006,Sierra,10100.0,19.99
TimeShift™,2007,Saber Interactive,10130.0,19.99
Space Quest™ Collection,2006,Sierra,10110.0,19.99
Killing Floor Outbreak Character Pack,2009,Tripwire Interactive,1256.0,7.99
Aces of the Galaxy™,2008,Artech Studios,10120.0,9.99
Tropico Reloaded,2009,"PopTop Software,BreakAway Games,Frog City Software",33520.0,6.99
Mystery P.I. - Lost in Los Angeles,2009,SpinTop Games,3610.0,4.99
Bionic Commando: Rearmed,2008,Capcom,21680.0,9.99
Bionic Commando,2009,Capcom,21670.0,9.99
Watchmen: The End is Nigh Part 2,2009,Deadline Games,21030.0,4.99
Foreign Legion: Buckets of Blood,2009,Sakari Indie,36000.0,4.99
STAR WARS™ - Knights of the Old Republic™,2003,"BioWare,Aspyr (Mac)",32370.0,9.99
Osmos,2009,Hemisphere Games,29180.0,9.99
Fallout 2: A Post Nuclear Role Playing Game,1998,Black Isle Studios,38410.0,9.99
Fallout Tactics: Brotherhood of Steel,2001,14° East,38420.0,9.99
Kingpin — Life of Crime,1999,Xatrix Entertainment,38430.0,9.99
Sacrifice,2000,Shiny Entertainment,38440.0,9.99
Mini Ninjas Demo,2009,IO Interactive,35050.0,-10.0
Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,2009,Telltale Games,31180.0,19.99
Jewel Quest Pack,2009,iWin,37960.0,19.99
Mahjong Quest Collection,2009,iWin,38000.0,9.99
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009,Size Five Games,37400.0,4.99
Tom Clancy's Splinter Cell Chaos Theory®,2005,Ubisoft Montreal,13570.0,9.99
Crash Time 2,2009,,11390.0,9.99
XIII Century – Gold Edition,2009,Unicorn Games Studio,34420.0,4.99
World of Zoo,2009,Blue Fang,43100.0,14.99
18 Wheels of Steel: Extreme Trucker,2009,,33730.0,9.99
Mini Ninjas,2009,IO Interactive,35000.0,9.99
Freeze Tag Fun Pack #2,2009,"Freeze Tag Inc.,iQ212",39392.0,19.99
Freeze Tag Fun Pack #1,1999,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment",39391.0,19.99
Windosill,2009,"Vectorpark, Inc.",37600.0,2.99
Train Simulator: Colton & Northern Route Add-On,2009,All Aboard,24029.0,24.99
Midnight Mysteries,2009,MumboJumbo,32140.0,9.99
Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009,Telltale Games,31190.0,19.99
Joint Operations: Combined Arms Gold,2009,NovaLogic,32770.0,19.99
Train Simulator: US Loco & Asset Pack,2009,Dovetail Games,208306.0,17.99
DinerTown Tycoon,2009,PlayFirst,37300.0,9.99
Train Simulator: European Loco & Asset Pack,2009,Dovetail Games,208300.0,19.99
Risen,2009,Piranha Bytes,40300.0,9.99
Flora's Fruit Farm,2009,Honeyslug,35070.0,3.99
Empire: Total War™ - The Warpath Campaign,2009,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",10606.0,9.99
Machinarium,2009,Amanita Design,40700.0,9.99
Medal of Honor: Airborne,2007,EA Los Angeles,24840.0,9.99
Need for Speed: Shift,2009,Slightly Mad Studios,24870.0,19.99
Torchlight,2009,Runic Games,41500.0,14.99
Command & Conquer: Red Alert 3 - Uprising,2009,EA Los Angeles,24800.0,19.99
The Stronghold Collection,2009,FireFly Studios,901735.0,19.99
East India Company: Privateer,2009,Nitro Games,42800.0,4.99
Painkiller: Resurrection,2009,Homegrown Games,39560.0,9.99
SpellForce 2 - Anniversary Edition,2009,"Phenomic,THQ Nordic",39550.0,14.99
Secret Files: Tunguska,2009,Animation Arts,40330.0,9.99
Rush for Berlin Gold,2009,Stormregion,40320.0,4.99
Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009,Telltale Games,31200.0,19.99
Men of War: Red Tide,2009,1C Company,3130.0,4.99
Hammerfight,2009,Konstantin Koshutin,41100.0,4.99
SpellForce - Platinum Edition,2009,Phenomic,39540.0,9.99
Massive Assault: Phantom Renaissance,2005,Wargaming.net,34640.0,9.99
Massive Assault,2003,Wargaming.net,34630.0,9.99
Nancy Drew® Dossier: Resorting to Danger!,2009,HeR Interactive,42200.0,6.99
Serious Sam HD: The First Encounter,2009,Croteam,41000.0,14.99
Secret Files 2: Puritas Cordis,2009,Animation Arts,40340.0,9.99
Dragon Age: Origins,2009,BioWare,17450.0,19.99
Aztaka,2009,Citeremis Inc.,37100.0,4.99
Magnetis,2009,Yullaby,37500.0,1.99
For The Glory: A Europa Universalis Game,2009,Crystal Empire Games,42810.0,9.99
Call of Duty®: Modern Warfare® 2,2009,"Infinity Ward,Aspyr (Mac)",10180.0,19.99
LEGO® Star Wars™ - The Complete Saga,2009,"Traveller's Tales,Feral Interactive (Mac)",32440.0,19.99
Overlord™,2007,"Triumph Studios,Virtual Programming",11450.0,4.99
Overlord™: Raising Hell,2008,"Triumph Studios,Virtual Programming",12710.0,9.99
Command & Conquer 3: Tiberium Wars,2007,EA Los Angeles,24790.0,14.99
Yumsters 2: Around the World,2008,KranX Productions,29120.0,4.99
Command & Conquer 3: Kane's Wrath,2009,EA Los Angeles,24810.0,19.99
Gratuitous Space Battles,2009,Positech Games,41800.0,14.99
Wings of Prey,2009,Gaijin Entertainment,45300.0,9.99
The Bard's Tale,2005,inXile Entertainment,41900.0,9.99
Defence Alliance 2,2009,Defence Alliance Team,35420.0,0.0
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2009,"LucasArts,Aspyr Studios",32430.0,19.99
Europa Universalis III: Heir to the Throne,2009,Paradox Interactive,25806.0,9.99
Fallout 3: Game of the Year Edition,2009,Bethesda Game Studios,22370.0,19.99
Gratuitous Space Battles: The Tribe,2009,Positech Games,41802.0,5.99
Build-A-Lot,2007,Hip Soft,38080.0,9.99
Build-A-Lot 2: Town of the Year,2008,Hip Soft,38090.0,9.99
Build-A-Lot 3: Passport to Europe,2009,Hip Soft,38100.0,9.99
Coconut Queen,2009,iWin,38070.0,9.99
Roogoo,2009,Spidermonk Entertainment,38210.0,1.99
Devil May Cry 4,2008,Capcom,45700.0,19.99
Avencast: Rise of the Mage,2010,ClockStone Studios,46410.0,9.99
Build-A-Lot 4: Power Source,2009,Hip Soft,38110.0,9.99
"Pirates, Vikings, and Knights II",2010,Octoshark Studios,17570.0,0.0
Farm Frenzy 2,2008,Alawar,38130.0,4.99
Farm Frenzy 3: American Pie,2010,Alawar,38160.0,9.99
Farm Frenzy 3,2009,Alawar,38150.0,9.99
Farm Frenzy,2007,Alawar,38120.0,4.99
Farm Frenzy: Pizza Party,2009,Alawar,38140.0,4.99
Cake Mania Main Street™,2010,Sandlot Games,36300.0,6.99
Westward® IV: All Aboard,2010,Sandlot Games,36310.0,6.99
Iron Roses,2010,Cateia Games,36320.0,6.99
UFO: Extraterrestrials Gold,2010,Chaos Concept,37030.0,9.99
LEGO® Indiana Jones™ 2: The Adventure Continues,2010,Traveller's Tales,32450.0,19.99
Vancouver 2010™ - The Official Video Game of the Olympic Winter Games,2010,Eurocom,34180.0,-10.0
Super Laser  Racer,2010,New Star Games Ltd,44100.0,4.99
Hearts of Iron III: Soviet Infantry Pack DLC,2010,Paradox Interactive,25960.0,0.99
NecroVisioN: Lost Company,2010,The Farm 51,46250.0,6.99
Cradle of Persia,2007,Awem Studio,38180.0,9.99
Aliens vs. Predator Swarm Map Pack,2010,Rebellion,10695.0,7.49
Serious Sam Classic: The First Encounter,2001,Croteam,41050.0,9.99
Train Simulator: Fort Kent to Eagle Lake Route Add-On,2010,All Aboard,24055.0,19.99
Mount & Blade: Warband,2010,TaleWorlds Entertainment,48700.0,19.99
Coniclysm,2010,ZoopTEK,39900.0,4.99
Plain Sight,2010,Beatnik Games,49900.0,4.99
Lead and Gold: Gangs of the Wild West,2010,Fatshark,42120.0,9.99
Grand Theft Auto: Episodes from Liberty City,2010,Rockstar North / Toronto,12220.0,19.99
Dark Void™ Zero,2010,Other Ocean Interactive,45730.0,4.99
Fortix,2010,Nemesys Games,45400.0,0.99
Beat Hazard,2010,Cold Beam Games,49600.0,9.99
Sam & Max: The Devil’s Playhouse,2010,Telltale Games,901399.0,19.99
M.U.D. TV,2010,Realmforge Studios,43500.0,9.99
Wings of Luftwaffe Add-on,2010,Gaijin Entertainment,45302.0,4.99
The Misadventures of P.B. Winterbottom,2010,The Odd Gentlemen,40930.0,4.99
AquaNox 2: Revelation,2003,THQ Nordic,39640.0,4.99
AquaNox,2001,THQ Nordic,39630.0,4.99
Fluttabyes,2010,Red Chain Games Ltd.,23150.0,1.99
Hidden Expedition: Titanic,2006,Big Fish Games,50940.0,9.99
Hidden Expedition: Amazon,2008,Big Fish Games,50920.0,9.99
Napoleon: Total War™ - Coalition Battle Pack,2010,"The Creative Assembly,Feral Interactive (Mac)",34178.0,2.99
Fitness Dash™,2008,Sarbakan,37340.0,6.99
Gemini Lost™,2009,PlayFirst,37390.0,6.99
DinerTown Detective Agency™,2009,Absolutist Ltd.,37310.0,6.99
Mahjong Roadshow™,2007,PlayFirst,37360.0,6.99
Hotel Dash™ Suite Success™,2009,PlayFirst,49000.0,6.99
Nightshift Legacy: The Jaguar's Eye™,2010,PlayFirst,37330.0,6.99
The Nightshift Code™,2008,PlayFirst,37320.0,6.99
TriJinx: A Kristine Kross Mystery™,2007,PlayFirst,37370.0,6.99
Valerie Porter and the Scarlet Scandal™,2009,PlayFirst,37380.0,6.99
